,equipment_type,encoding,variance,std,mean,cv,range
0,tank,cumulative,12553724.91548296,3543.123609963807,6424.559381588194,0.5514967485735759,11489.0
1,tank,delta,45.375440817924975,6.736129513149593,8.073787772312016,0.8343208544776001,68.0
2,tank,rolling_7,20.152690996923717,4.489174868160486,8.100076966837333,0.5542138533355021,33.0
3,tank,rolling_14,17.690678420023048,4.206028818258744,8.13847271842704,0.5168081240456602,33.0
4,APC,cumulative,53529193.60611162,7316.364780826037,12984.077301475756,0.5634874632173061,23398.0
5,APC,delta,198.15395799062588,14.076716875416153,16.442726633872102,0.8561059968200428,204.0
6,APC,rolling_7,102.27537497860189,10.113128842183407,16.54803734564803,0.6111376612757009,95.0
7,APC,rolling_14,94.4173106863579,9.716857037455984,16.674439948666933,0.5827396342732664,95.0
8,MRL,cumulative,206588.7541163171,454.52035610775135,895.6261419536191,0.5074889340727153,1611.0
9,MRL,delta,2.7386945418827033,1.6549001606993405,1.1321152494729445,1.4617771126425516,19.0
10,MRL,rolling_7,0.7023395748488879,0.8380570236260108,1.1281748820399558,0.7428431858333516,6.857142857142857
11,MRL,rolling_14,0.5290568953335343,0.7273629735788963,1.134934628891059,0.6408853470490296,6.142857142857143
12,aircraft,cumulative,5665.881467448983,75.27204970936413,326.5172171468728,0.23053010915342476,424.0
13,aircraft,delta,2.178260077266907,1.4758929762238544,0.29796205200281095,4.953291755805876,42.0
14,aircraft,rolling_7,0.6413035558474144,0.8008143079687166,0.30703242646320655,2.60824016841706,8.642857142857142
15,aircraft,rolling_14,0.5456988166606447,0.7387142997537307,0.31597292572345276,2.337903786625317,8.571428571428571
16,helicopter,cumulative,3831.6000857314016,61.89991991700314,294.9346451159522,0.2098767335137806,340.0
17,helicopter,delta,1.1600584514321244,1.0770600964812151,0.23893183415319746,4.5078132842685505,20.0
18,helicopter,rolling_7,0.532691912473303,0.7298574603806575,0.24918515543954753,2.9289764825690976,9.5
19,helicopter,rolling_14,0.5269845107690071,0.7259369881532467,0.26031499538175573,2.7886867862136824,9.5
20,drone,cumulative,584938418.1721591,24185.500163779103,18180.996486296557,1.3302626279042598,108605.0
21,drone,delta,17207.35645348553,131.17681370381555,76.32115249472945,1.7187478099561249,1074.0
22,drone,rolling_7,13360.612662463001,115.58811644136694,74.70420807817153,1.5472771804268266,754.7142857142857
23,drone,rolling_14,12266.234515026666,110.75303388633047,73.09157535483958,1.5152640143341185,644.5
